key,English
buffNorovirusImmunityName,Norovirus Immunity

buffTuberculosis01GetBetterDesc,You have a treated mild Tuberculosis. Continue medication until Tuberculosis is cleared up.\nGetting hit by zombies or animals will make an Tuberculosis worse.,
buffTuberculosis01GetBetterName,Treated Mild Tuberculosis,
buffTuberculosis01UntreatedDesc,You have a mild Tuberculosis.\nIt will get worse until treated with honey or antibiotics.\nGetting hit by zombies or animals will make an Tuberculosis worse.,
buffTuberculosis01UntreatedName,Mild Tuberculosis,
buffTuberculosis01UntreatedTooltip,You are infected. Take antibiotics to avoid symptoms.,
buffTuberculosis02GetBetterDesc,You have a treated serious Tuberculosis. Continue medication and keep an eye on the wound.\nGetting hit by zombies or animals will make an Tuberculosis worse.\n\nStamina Regeneration -12.5%,
buffTuberculosis02GetBetterName,Treated Tuberculosis,
buffTuberculosis02UntreatedDesc,You have a serious Tuberculosis. If left untreated it could lead to severe Tuberculosis which can cause death. Take antibiotics as soon as possible.\nGetting hit by zombies or animals will make an Tuberculosis worse.\n\nStamina Regeneration -25%,
buffTuberculosis02UntreatedName,Tuberculosis,
buffTuberculosis03GetBetterDesc,You have a treated life threatening severe Tuberculosis. Continue Medication and avoid contact with infectious substances.\n\nStamina Regeneration -17%\nAll Attributes -1,
buffTuberculosis03GetBetterName,Treated Severe Tuberculosis,
buffTuberculosis03UntreatedDesc,You have a life threatening severe Tuberculosis. Take antibiotics immediately.\n\nStamina Regeneration -35%\nAll Attributes -1,
buffTuberculosis03UntreatedName,Severe Tuberculosis,
buffTuberculosis04Tooltip,You have died from an Tuberculosis.,
buffTuberculosisCureDisplayDesc,You have taken antibiotic medicine which will reduce Tuberculosis that you may be suffering. You can stack antibiotic medicines to increase duration.,
buffTuberculosisCureDisplayName,Antibiotic Medicine,
buffTuberculosisGettingWorseTooltip,Your Tuberculosis will no longer heal on its own.,
buffTuberculosisImmunityDesc,Your immune system is an Tuberculosis fighting machine!,
buffTuberculosisImmunityName,Tuberculosis Immunity

foodSharkStew,Shark Stew
foodBurgerFrenchFryes,"Hamburger & French Fryes"
foodRamenNoodles,"Ramen Noodles"


Heatedfloor,Heated Floor
heatedfloorDesc,"The heat warms you up and drys you off.  \n This is used in the Snow Biome to keep you warm."

Cooledfloor,Coolded Floor
ColdfloorDesc,"The cold air cools you.  \n This is used in the Desert Biome to keep you cool."

PreciousMetalForge,Precious Metal Forge
resourceIronBar,Iron Bar
resourceGoldBar,Gold Bar
resourceSilverBar,Silver Bar
resourcePlatinumBar,Platinum Bar
resourceCopperBar,Copper Bar


resourceScrapAluminum,Forged Aluminum



zombieChargedBehemoth,"Charged Behemoth"

zombieInfernalBehemoth,"Infernal Behemoth"

zombieArmoredBehemoth,"Armored Behemoth"


gunT0GrenadeLauncher,"Pipe Grenade Launcher"
gunT1GrenadeLauncher,"Double Barrel Grenade Launcher"
gunT2GrenadeLauncher,"Pump Grenade Launcher"
gunT3GrenadeLauncher,"Muli Grenade Launcher"
resourceGrenadeTip,"Grenade Tip"
resourceGrenadeCasing,"Grenade Casing"
40mmGAmmo,"40mm Grenade (Ammo)"
40mmGHEAmmo,"40mm HE Grenade (Ammo)"
40mmGForceAmmo,"40mm Force Grenade (Ammo)"

resource4BoreBulletCasing,"4 Bore Bullet Casing"

resource4BoreBulletTip,"4 Bore Bullet Tip"

gunRifleT3Rifle4Bore,"4 Bore Rifle"

gunHandgunT3Magnum4Bore,"4 Bore Magnum"






CowStable001,Cow Stable


FishingBait,"Bait"
FishingBaitDesc,"Could be used for Fishing."

FishingLoot,"Catched Loot"
FishingLootDesc,"Your catched Fishing-Loot. By opening you will get back your Fishing Rod without a bait and maybe you get a fish."

FishingLootpro,"Catched PRO Loot"
FishingLootv3,"Catched Triple Loot"

CaughtFish,"Fresh Fish Salmon"
CaughtFishDesc,"A fresh Salmon. "Open" it to get the raw fish meat and some scales."

CaughtFish2,"Fresh Fish Tuna"
CaughtFish2Desc,"A fresh Tuna "Open" it to get the raw fish meat and some scales."

CaughtFish3,"Fresh Fish Golden Carp"
CaughtFish3Desc,"A fresh Carp "Open" it to get the raw fish meat and some scales."

CaughtFish4,"Fresh Fish Comb Perch"
CaughtFish4Desc,"A fresh Perch "Open" it to get the raw fish meat and some scales."

RawFish,"Raw Cat Fish"
RawFishDesc,"Raw Cat Fish, could be cooked at the Campfire"

RawFish2,"Raw Crawfish"
RawFish2Desc,"Raw Cod, could be cooked at the Campfire"

RawFish3,"Raw Shrimp"
RawFish3Desc,"Raw Shrimp, could be cooked at the Campfire"

RawFish4,"Raw Clam"
RawFish4Desc,"Raw Clam, could be cooked at the Campfire"

fishingRodnorm,"Fishing Rod ([ff0000]No Bait[-])"
fishingRodnormDesc,"Use unbaited fishing rod and baits to craft a baited rod."

fishingRodpro,"Fishing Rod PRO ([ff0000]No Bait[-])"
fishingRodproDesc,"Faster Fishing. Use unbaited fishing rod and baits to craft a baited pro-rod."

fishingRodv3,"Triple Float Rod ([ff0000]No Bait[-])"
fishingRodv3Desc,"Triple Fishing. Use unbaited fishing rod and baits to craft a baited triple-rod."

fishingRodBaitednorm,"Fishing Rod ([00ff00]With Bait[-])"
fishingRodBaitednormDesc,"Go over to the river and left click on the water while the rod is equipped, then wait up to 10 seconds. Tight lines!.\n\n\n[ff0000]YOU'LL BE LOCKED INTO THE ANIMATION UNTIL YOU GET A CATCH[-]"

fishingRodBaitedpro,"Fishing Rod PRO ([00ff00]With Bait[-])"
fishingRodBaitedproDesc,"Go over to the river and left click on the water while the rod is equipped, then wait up to 10 seconds. Tight lines!.\n\n\n[ff0000]YOU'LL BE LOCKED INTO THE ANIMATION UNTIL YOU GET A CATCH[-]"

fishingRodBaitedv3,"Triple Float Rod ([00ff00]With Bait[-])"
fishingRodBaitedv3Desc,"Go over to the river and left click on the water while the rod is equipped, then wait up to 10 seconds. Tight lines!.\n\n\n[ff0000]YOU'LL BE LOCKED INTO THE ANIMATION UNTIL YOU GET A CATCH[-]"

fishskillmagazine,"Fishing Magazine"
fishskillmagazinedesc,"By reading this magazine you increase your knowledge about fishing."


buffSugerRushTooltip,"WOOHOO You have a Suger Rush!!!"

PickleRickTooltip."You Just Got Pickeled By Pickle Rick BITCH!!!"
PickleRick,Pickle Rick
buffBrainDrainName,"Brain Drain"
buffBrainDrainDesc,"Removes all perks and reset base health."

classStarter,"Class Token"
classStarterDesc,"Use this Token to craft a starter kit. [FF00FF]See Descriptions in craft menu for contents before choosing."

StartMedic,"Medic Class"
StartmedicDesc,"Stun Baton \n Extra Medical Supplies \n Food Bundle \n LockPick Bundle \n Book \n Some Skill Magazines \n Repair Kit \n Bicycle"

StartSalvage,"Salvage Class"
StartSalvageDesc,"Sledge Hammer \n Wrench \n Food Bundle \n Medical Supplies \n LockPick Bundle \n Some Skill Magazines \n Repair Kit \n Bicycle"

StartFarm,"Farmer Class"
StartFarmDesc,"Baseball bat \n Iron Shovel \n Extra food \n Farm Bundle \n LockPick Bundle \n Some Skill Magazines \n Bicycle"

StartMiner,"Miner Class"
StartMinerDesc,"Pipe Baton \n Pickaxe \n Food Bundle \n Medical Supplies \n LockPick Bundle \n Repair Kit \n Some Skill Magazines \n Impact Bracers \n Bicycle"

StartBrawler,"Brawler Class"
StartBrawlerDesc,"Iron Knuckles \n Fire Axe \n Food Bundle \n Medical Supplies \n LockPick Bundle \n Repair Kit \n Some Skill Magazines \n Melee Right Cross Mod \n Bicycle"

StartSledgehammer,"Sledgehammer Class"
StartSledgehammerDesc,"Iron Knuckles \n Fire Axe \n Food Bundle \n Medical Supplies \n LockPick Bundle \n Repair Kit \n Some Skill Magazines \n Melee Right Cross Mod \n Bicycle"



BerryTeaDesc,A warm healing tea made from blueberries and snowberries

MixedTeaDesc,A cool refreshing mixed herbal tea that helps protect against the cold

IcedCoffeeDesc,A cool energising iced coffee that helps protect against the cold whilst remaining just as hydrating as the hot counterpart

YuccaChipsDesc,A handful of hearty wedge cut yucca chips

HashbrownDesc,A small triangle of shredded fried potato. A nice snack

MashPotatoDesc,This hefty pot of silky smooth mash potato could be a meal on it's own

CornGritsDesc,A warm pot of boiled corn grits with animal fat

BlueberryJamDesc,Sweet blueberry jam made from rendered fruits. Maybe too sweet on it's own

YuccaJamDesc,Surprisingly savory whilst still being sweet. Yucca jam is made from rendered down yucca fruit

EggSaladDesc,A basic egg salad made from boiled eggs. Boiled potato and oil dressing

FriedMeatDesc,Meat that has been fried in a cornmeal coating

CornChipsDesc,Crispy fried corn chips that make for a nice snack between bashing skulls in

BBJamSandwichDesc,A simple cornbread sandwich with a sweet blueberry jam filling to help recover from a long day

YuccaJamSandwichDesc,A simple cornbread sandwich with a savory yucca jam filling that helps get rid of even the strongest hunger pangs

CoffeeCakeDesc,This cake offers the energising properties of coffee whilst still being delicious

MushroomPieDesc,Savory and buttery pie crust filled to the brim with mushrooms

MeatAndBeerPieDesc,Rich and savory pie crust with a meat and beer filling. Truly a feast fit for the best of the best

FriedMushroomsDesc,Whole mushrooms coated in cornmeal and fried. A very filling snack

FriedEggDesc,A simple sunny side up fried egg. The main component of any good breakfast

FrenchToastDesc,Egg soaked cornbread that has been fried. Simple yet tasty

HoneyGlazedMeatDesc,Roasted meat with a deep honey glaze covering it

BlueberrySodaDesc,A refreshing carbonated soda made from blueberries

CarbonatedWaterDesc,Carbonated water that is both refreshing and useful for digestion

KvassSodaDesc,Kvass soda made from fermented cornbread to make it carbonated. A very basic soda

VodkaDesc,Fermented and distilled potato water that will improve your bartering. This stuff packs a punch

SnowberryGinDesc,A dry gin made from snowberries that will boost your ability to break blocks

BlueberrySpongeDesc,Fluffy sponge cake with a very sweet blueberry jam filling. Filling for both the body and soul.

YuccaSpongeDesc,Sweet and fluffy sponge cake with a somewhat savory yucca jam filling. Extremely filling

CustardPieDesc,Buttery pie crust filled to the brim with a dense custard.

ATEnergyTabletDesc,Energy tablets are great for getting you out of sticky situations. However you can get addicted to them.

FudgeDesc,Sugary fudge that melts in the mouth and rots away the teeth. You didn't need those molars anyway

PopcornDesc,Popped corn - the movie-goers favourite. A basic snack between meals

RockCandyDesc,Unflavoured candy made mostly from sugar. Will give you quite the sugar rush

RockCandyBlueberryDesc,Blueberry flavoured rock candy that tastes good and will give you a sugar rush

RockCandySnowberryDesc,Snowberry infused rock candy that will help with digestion and give you a sugar rush

SpongeCakeDesc,Dense sponge cake with sugar icing atop it.

SugarExtractDesc,"You'd have to be pretty desperate to eat raw sugar. Used in soda, candies and cakes"

SugarRushDesc,A slight rush from the amount of sugar you just ate. This allows you to slightly run faster
SugarRushName,Sugar Rush
SugarRushTooltip,That was a lot of sugar.

ATEnergyTabletDesc,You can run faster. reload slightly quicker and become less exhausted.
ATEnergyTabletName,Energy Rush
ATEnergyTabletTooltip,What a rush!

ColdDrinkName,Cold Drink
ColdDrinkDesc,Iced drinks help you survive better in hot environments.
FlourDesc,Handy in baking.
sliceOfBreadDesc,"Just a slice of bread."


toolBellowsDesc,"A tool that can be installed in a forge. It increases air flow and so the crafting speed of the forge."
statCraftingSmeltTime,Forge Crafting Speed.

buffCarRespawnTipDisplayName,"Vehicles Respawn Tip",
buffCarRespawnTipDisplayDesc,"After salvaging a vehicle, a vehicle seat will be left behind to respawn/grow back.",
buffCarRespawnTipDisplayTooltip,"THE SEAT GROWS INTO A NEW VEHICLE!!!",

workingMicrowave,Microwave (Powered)
workingMicrowaveDesc,"This microwave is powered already and can be used to heat up bowls of canned food to gain the maximum benefits from them."
drinkBowlEmpty,Bowl (Empty)
drinkBowlEmptyDesc,Use this empty bowl to heat up foods in the microwave.
foodSoupChicken,Bowl of Chicken Soup
foodSoupChickenDesc,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.
foodBowlPasta,Bowl of Pasta
foodBowlPastaDesc,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.
foodBowlChili,Bowl of Chili
foodBowlChiliDesc,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.
foodBeefStew,Bowl of Beef Stew
foodBeefStewDesc,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.
foodLambSoup,Bowl of Lamb Soup
foodLambSoupDesc,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.
foodTunaSandwich,Tuna Sandwich
foodTunaSandwichDesc,Making a delicious tuna sandwich will give you some extra benefits.
microwaveTip,The microwave can be placed and used to heat canned food recipes. Canned food recipes offer slightly more benefits to them than if you eat them in singles so save those cans when you can. Bowls can be found in loot and are used with the canned foods.,,
microwaveTip_title,Microwave

perkCaptainmModifierName,"Captain Modifier"

perkCaptainmModifierRank1Desc,"Unlock Mods Stage 1"
perkCaptainmModifierRank1LongDesc,"modGunBipod, modMeleeWoodSplitter, modArmorInsulatedLiner, modGunBarrelExtender, modGunLaserSight, modGunFlashlight, modArmorStealthBoots, modVehicleOffRoadHeadlights"

perkCaptainmModifierRank2Desc,"Unlock Mods Stage 2"
perkCaptainmModifierRank2LongDesc,"modMeleeGraveDigger, modGunForegrip, modArmorCoolingMesh, modShotgunSawedOffBarrel, modGunReflexSight, modGunChoke, modArmorWaterPurifier, modVehicleReserveFuelTank, Max Degradation"

perkCaptainmModifierRank3Desc,"Unlock Mods Stage 3"
perkCaptainmModifierRank3LongDesc,"modMeleeStructuralBrace, modGunMagazineExtender, modGunMeleeTheHunter, modGunMuzzleBrake, modGunDuckbill, modArmorStoragePocket, modArmorHelmetLight, modVehiclePlow, modMeleeBurningFist"

perkCaptainmModifierRank4Desc,"Unlock Mods Stage 4"
perkCaptainmModifierRank4LongDesc,"modArmorPlatingBasic, modGunScopeSmall, modArmorImprovedFittings, modArmorBandolier, modGunRetractingStock, modArmorDoubleStoragePocket, modArmorCigar, modRoboticDroneArmorPlatingMod, Super Max Degradation"

perkCaptainmModifierRank5Desc,"Unlock Mods Stage 5"
perkCaptainmModifierRank5LongDesc,"modGunChoke, modGunTriggerGroupSemi, modGunTriggerGroupAutomatic, modGunTriggerGroupBurst3, modArmorPlatingReinforced, modGunScopeMedium, modVehicleFuelSave,modRoboticDroneMedicModr, modArmor12SlotStoragePocket"

perkCaptainmModifierRank6Desc,"Unlock Mods Stage 6"
perkCaptainmModifierRank6LongDesc,"modGunSoundSuppressorSilencer, modGunBowPolymerString, modMeleeErgonomicGrip,modMeleeClubBarbedWire, modFuelTankSmall, modArmorTripleStoragePocket, modVehicleArmor, modRoboticDroneMedicMod, modMeleeRightCross"

perkCaptainmModifierRank7Desc,"Unlock Mods Stage 7"
perkCaptainmModifierRank7LongDesc,"modGunShotgunTubeExtenderMagazine, modGunBowArrowRest, modMeleeFortifyingGrip, modMeleeFiremansAxeMod, modArmorCustomizedFittings, modArmorImpactBracing, modRoboticDroneMoraleBoosterMod, modPusher"

perkCaptainmModifierRank8Desc,"Unlock Mods Stage 8"
perkCaptainmModifierRank8LongDesc,"modGunCrippleEm, modMeleeTemperedBlade, modMeleeSerratedBlade, modMeleeDiamondTip, modMeleeClubBurningShaft, modArmorMuffledConnectors, modVehicleExpandedSeat, modRoboticDroneHeadlampMod, modBerserk"

perkCaptainmModifierRank9Desc,"Unlock Mods Stage 9"
perkCaptainmModifierRank9LongDesc,"modGunDrumMagazineExtender, modMeleeWeightedHead, modMeleeClubMetalChain, modMeleeIronBreaker,modFuelTankLarge, modArmorQuadStoragePocket, modVehicleSuperCharger, modVehicleFuelSaver, modMeleeStunRepulsor"

perkCaptainmModifierRank10Desc,"Unlock Mods Stage 10"
perkCaptainmModifierRank10LongDesc,"modGunScopeLarge, modGunMeleeRadRemover, modMeleeClubMetalSpikes,modMeleeBunkerBuster, modMeleeStunBatonRepulsor, modArmorAdvancedMuffledConnectors, modRoboticDroneCargoMod, modArmor50SlotBackPack"

perkGemMiningName,"Gem Mining"
perkGemMiningDesc,"Increse the perk art of mining lucky strike harvest. /n THIS REQIURES THE BOOK ART OF MINING LUCKY STRAKE HARVEST"

perkGemMiningRank1Desc,"Stage 1"
perkGemMiningRank1LongDesc,""

perkGemMiningRank2Desc,"Stage 2"
perkGemMiningRank2LongDesc,""

perkGemMiningRank3Desc,"Stage 3"
perkGemMiningRank3LongDesc,""

perkGemMiningRank4Desc,"Stage 4"
perkGemMiningRank4LongDesc,""

perkGemMiningRank5Desc,"Stage 5"
perkGemMiningRank5LongDesc,""

perkLivingOffTheLandRank1Desc,Gardener
perkLivingOffTheLandRank2Desc,Grower
perkLivingOffTheLandRank3Desc,Farmer
perkLivingOffTheLandRank4Desc,Agriculturist
perkLivingOffTheLandRank5Desc,Horticulturist


perkMoreHealthDesc,"Level up this to learn how to take heavier hits in battle, or to just have more wiggle room in your health pool.",
perkMoreHealthName,More Health,
perkMoreHealthRank1Desc,+10 Health,
perkMoreHealthRank1LongDesc,Tired of dying so quickly? Well you came to the right place. With this skill you can learn how to get an even bigger advantage on life. Just keep leveling this up and eventually it will be way to hard to kill you. [5ACCE5]No Refunds unless you use something that allows you to completely respec yourself.[-],
perkMoreStaminaDesc,"Level up this to learn how to run farther. Use melee weapons for even longer in combat. Even be able to go mining without as much delay.",
perkMoreStaminaName,More Stamina,
perkMoreStaminaRank1Desc,+10 Stamina,
perkMoreStaminaRank1LongDesc,Tired of always needing to stop to catch your breath? Well you came to the right place. With this skill you can learn how to do quite the opposite. You will be able to go even longer without needing to sit and recharge. This is especially useful in battle. [5ACCE5]No Refunds unless you use something that allows you to completely respec yourself.[-],


medicalAdvFirstAidBandage,Adv First Aid Bandage

medicalAdvFirstAidKit,Adv First Aid Kit



loadingTipFireBad,"If you are on fire, do not try to put it out by dousing yourself with flammable liquids."
loadingTipFireBad_title,Fire is bad,
loadingTipGasoline,"Gasoline is used to fuel generators, motor tools, and motorized vehicles.\nDo not drink gasoline."
loadingTipGasoline_title,Gasoline
loadingTipBodyHarvesting,"You Can loot and harvest the zombie bodys."
loadingTipBodyHarvesting_title,Bodys





TwitchAction_SpawnHornetCommand,"#Spawn_Hornet"
TwitchAction_SpawnHornet,"Hornet"
TwitchAction_SpawnHornetDesc,"Spawns a Hornet."

TwitchAction_SpawnHornetGroupCommand,"#Spawn_HornetGroup"
TwitchAction_SpawnHornetGroup,"Hornet Group"
TwitchAction_SpawnHornetGroupDesc,"Spawns a group of Hornet."

TwitchAction_SpawnHornetHordeCommand,"#Spawn_HornetHorde"
TwitchAction_SpawnHornetHorde,"Hornet Horde"
TwitchAction_SpawnHornetHordeDesc,"Spawns a Horde of Hornets."

CraftingAmmoName,Ammo
Ammo57mmBullet,57mm Ammo
Ammo57mmBulletHP,HP 57mm Ammo
Ammo57mmBulletAP,AP 57mm Ammo
ammo45ACPBulletBall,45 ACP
ammo45ACPBulletHP,HP 45 ACP
ammo45ACPBulletAP,AP 45 ACP
Ammo50CalBullet,50 CAL
Ammo50CalBulletHP,HP 50 CAL
Ammo50CalBulletAP,AP 50 CAL
ammoShotgunShellFlechette,Flechette Shotgun Shell
Ammo556mmBullet,556mm Ammo
Ammo556mmBulletHP,HP 556mm Ammo
Ammo556mmBulletAP,AP 556mm Ammo
ammo10mmBulletBall,10mm Ammo
ammo10mmBulletHP,HP 10mm Ammo
ammo10mmBulletAP,AP 10mm Ammo
ammo20gShotgunShell,20g Shotgun Shell
ammo20gShotgunSlug,20g Shotgun Slug 
ammo20gShotgunBreachingSlug,20g Shotgun Breaching Slug
ammo45LongColtBulletBall,45 Long Colt Ammo
ammo45LongColtBulletHP,HP 45 Long Colt Ammo
ammo45LongColtBulletAP,AP 45 Long Colt Ammo
ammo22LCBulletBall,22LC Ammo
ammo22LCBulletHP,HP 22LC Ammo
ammo22LCBulletAP,AP 22LC Ammp











ammoBundle45ACPBullet,Box of 45 ACP
ammoBundle45ACPBulletHP,Box of HP 45 ACP
ammoBundle45ACPBulletAP,Box of AP 45 ACP
ammoBundle57mmBullet,Box of 57mm ACP
ammoBundle57mmBulletHP,Box of HP 57mm ACP
ammoBundle57mmBulletAP,Box of AP 57mm ACP
ammoBundle50CalBullet,Box of 50 CAL
ammoBundle50CalBulletHP,Box of HP 50 CAL
ammoBundle50CalBulletAP,Box of AP 50 CAL
ammoBundleShotgunShellFlechette,Box of Flechette Shotgun Shell
ammoBundle556mmBullet,Box of 556mm
ammoBundle556mmBulletHP,Box of 556mm HP
ammoBundle556mmBulletAP,Box of 556mm AP
ammoBundle10mmBullet,Box of 10mm 
ammoBundle10mmBulletHP,Box of 10mm HP
ammoBundle10mmBulletAP,Box of 10mm AP
ammoBundle20gShotgunShell,Box of 20g Shotgun Shell
ammoBundle20ShotgunBreachingSlug,Box of 20g Breaching Shell
ammoBundle20gShotgunSlug,Box of 20g Shotgun Slug
ammoBundle45LongColtBulletBall,Box of 45 Long Colt
ammoBundle45LongColtBulletHP,Box of 45 Long Colt HP
ammoBundle45LongColtBulletAP,Box of 45 Long Colt AP
ammoBundle22LCBulletBall,Box of 22LC
ammoBundle22LCBulletHP,Box of 22LC HP
ammoBundle22LCBulletAP,Box of 22LC AP

perkEnforcerAPAmmoDesc,Gain 20% more experience while using a 44 Magnum.,
perkEnforcerAPAmmoLongDesc,Gain 20% more experience while using a 44 Magnum.,
perkEnforcerHPAmmoDesc,Increased 44 mag ammo in loot.,
perkEnforcerHPAmmoLongDesc,Increased 44 mag ammo in loot,
perkEnforcerCompleteDesc,All shots with .44 ammo penetrate enemies.,
perkEnforcerCompleteLongDesc,All shots with .44 ammo penetrate enemies.,
perkPistolPeteHPAmmoDesc,Increase experience gain by 20% while using 9mm guns.,
perkPistolPeteHPAmmoLongDesc,Increase experience gain by 20% while using 9mm guns.,
perkPistolPeteAPAmmoDesc,Increase 9mm ammo in loot.,
perkPistolPeteAPAmmoLongDesc,Increase 9mm ammo in loot.,
perkPistolPeteCompleteDesc,Shots fired at point blank ignore armor.,
perkPistolPeteCompleteLongDesc,Shots fired at point blank ignore armor.,
perkRangersExplodingBoltsDesc,Gain 20% more experience while using bows/crossbows.,
perkRangersExplodingBoltsLongDesc,Gain 20% more experience while using bows/crossbows.,
perkRangersAPAmmoDesc,Increase arrow and bolts in loot.,
perkRangersAPAmmoLongDesc,Increase arrow and bolts in loot.,
perkRangersFlamingArrowsDesc,Learn how to craft a Arrow Rest Mod and a Polymer String Mod.,
perkRangersFlamingArrowsLongDesc,Learn how to craft a Arrow Rest Mod and a Polymer String Mod.,
perkRangersCompleteDesc,Adds bleed chance to enemies while using bows or crossbows.,
perkRangersCompleteLongDesc,Adds bleed chance to enemies while using bows or crossbows.,
perkShotgunMessiahBreachingSlugsDesc,Increase experience gain by 20% while using shotguns.,
perkShotgunMessiahBreachingSlugsLongDesc,Increase experience gain by 20% while using shotguns.,
perkShotgunMessiahSlugsDesc,Increase shotgun ammuntion in loot.,
perkShotgunMessiahSlugsLongDesc,Increase shotgun ammuntion in loot.,
perkShotgunMessiahCompleteDesc,Increased entity damage by 30% while using shotguns.,
perkShotgunMessiahCompleteLongDesc,Increased entity damage by 30% while using shotguns.,
perkSniperAPAmmoDesc,Increase experience gain by 20% while using rifles.,
perkSniperAPAmmoLongDesc,Increase experience gain by 20% while using rifles.,
perkSniperHPAmmoDesc,Increase 7.62mm ammunition in loot.,
perkSniperHPAmmoLongDesc,Increase 7.62mm ammunition in loot.,
perkSniperCompleteDesc,Increased entity damage by 30% while using rifles.,
perkSniperCompleteLongDesc,Increased entity damage by 30% while using rifles.,


WorkingAirConditioner,Working AirConditioner
WorkingAirConditionerDesc,Working AirConditioner to reduce the heat


resourceEmptyVapeBundle,"Empty Vape Bundle"

toolBellowsDesc,"A tool that can be installed in a forge. It increases air flow and so the crafting speed of the forge."
statCraftingSmeltTime,Forge Crafting Speed


animalExplodingZombieDog,"Exploding Zombie Dog"
animalExplodingDireWolf,"Exploding Dire Wolf"
animalChihuahua,"Chihuahua"
animalFeralHouseCat,"Feral House Cat"
animalAnacondaSnake,"Anaconda"
animalPainStag,"Stag"
animalMiniBossGrace,"Mini Grace"
animalPainDoe,"Doe"
animalalphaBear,"Alpha Bear"
animalRageChicken,"Rage Chicken"
zombieTickleMeDemo,Tickle Me Demo
zombieFatCopFlamin,"Flamin Cop"
animalBattleWolf,"Battle Wolf"
animalChihuahua,"Zombified Chihuahua"
animalAlphaBear,"Alpha Bear"
animalFriendlyChihuahua,"Zombified Chihuahua"

seedsT3-1,Tier 3: Bell Pepper,
seedsT3-2,Tier 3: Cabbage,
seedsT3-3,Tier 3: Cantaloupe,
seedsT3-4,Tier 3: Chili Pepper,
seedsT3-5,Tier 3: Eggplant,

seedsT4-1,Tier 4: Grapes,
seedsT4-2,Tier 4: Leek,
seedsT4-3,Tier 4: Strawberry,
seedsT4-4,Tier 4: Onion,
seedsT4-5,Tier 4: Wheat,

seedsT5-1,Tier 5: Aleuria Aurantia,
seedsT5-2,Tier 5: Omphalotus Illudens,
seedsT5-3,Tier 5: Lactarius Indigo,
seedsT5-4,Tier 5: Shrooms,

resourceBehemothDNA,"Behemoth DNA"
BehemothDNADesc,"DNA of a Behemoth. it is for alchemy."

antivenom,"Anti-venom"
antivenomDesc,"Use this to instantly remove the effects of venom.\n\nCan be crafted at the campfire, in a cooking pot, or use a beaker to save on ingredients."
buffPoisonedDesc,"You're envenomed. Your attributes are lowered by one, and you are slowly taking damage.\n\nYou'll want some antivenom, and fast."
buffPoisonedName,Envenomed!
venomDesc,"Key ingredient for antivenom."

animalCottonMouth,Cotton Mouth

PickleRickTooltip."You Just Got Pickeled By Pickle Rick BITCH!!!"
PickleRick,Pickle Rick
buffBrainDrainName,"Brain Drain"
buffBrainDrainDesc,"Removes all perks and reset base health."

BananaRick,"Banana Rick"

xuiChallenge,"Shrader971's Challenge's"

challengeGroupAdvancedHunter,"Advanced Hunter"
challengeRewardBonusAdvancedHunterReward,"Advanced Hunter Reward"

challengeGroupAdvancedFarmer,"Advanced Farmer"
challengeRewardBonusAdvancedFarmerReward,"Advanced Farmer Reward"

challengeGroupAdvancedGatherer,"Advanced Gatherer"
challengeRewardBonusAdvancedGathererReward,"Advanced Gatherer Reward"

challengeGroupAdvancedCrafting,"Advanced Crafting"
challengeRewardBonusAdvancedCraftingReward,"Advanced Crafting Reward"

challengeGroupAdvancedZombieSlayer,"Advanced Zombie Slayer"
challengeRewardBonusAdvancedSlayerReward,"Advanced Zombie Slayer Reward"

challengeGroupEliteZombieSlayer,"Elite Zombie Slayer"
challengeRewardBonusEliteSlayerReward,"Elite Zombie Slayer Reward"

plantedBellPepper1,"Bell Pepper (Seed)"

plantedBellPepper2,"Bell Pepper (Growing)"

plantedBellPepper3Harvest,

plantedBellPepper3HarvestPlayer,
plantedBellPepper3HarvestDesc,"Bell Pepper"

plantedCabbage1,"Cabbage (Seed)"

plantedCabbage2,"Cabbage (Growing)"

plantedCabbage3Harvest,

plantedCabbage3HarvestPlayer,
plantedCabbage3HarvestDesc,"Cabbage"

plantedCantaloupe1,"Cantaloupe (Seed)"

plantedCantaloupe2,"Cantaloupe (Growing)"

plantedCantaloupe3Harvest,

plantedCantaloupe3HarvestPlayer,
plantedCantaloupe3HarvestDesc,"Cantaloupe"

plantedChiliPepper1,"Chili Pepper (Seed)"

plantedChiliPepper2,"Chili Pepper (Growing)"

plantedChiliPepper3Harvest,

plantedChiliPepper3HarvestPlayer,
plantedChiliPepper3HarvestDesc,"Chili Pepper"

plantedEggplant1,"Egg Plant (Seed)"

plantedEggplant2,"Egg Plant (Growing)"

